A11A, A11A, 48.95800, -116.36310, 1455.0
A11E, A11E, 51.30000, 7.41400, 270.0
A12, A12, 51.24500, 7.19900, 325.0
A12A, A12A, 48.93390, -115.65260, 928.0
A13, A13, 51.13100, 7.13500, 165.0
A13A, A13A, 48.93300, -114.41350, 1199.0
A14, A14, 50.94700, 7.42100, 350.0
A14A, A14A, 48.97250, -113.42180, 1420.0
A15, A15, 50.75000, 7.44900, 155.0
A15A, A15A, 48.97770, -112.73270, 1236.0
A16, A16, 47.47060, -70.00640, 15.0
A16A, A16A, 48.94820, -111.59680, 1394.0
A16E, A16E, 50.84600, 6.89200, 100.0
A17, A17, 50.76800, 6.72300, 130.0
A17A, A17A, 48.94480, -110.69940, 973.0
A18, A18, 50.56400, 8.08600, 370.0
A18A, A18A, 48.91980, -109.84590, 804.0
A19, A19, 50.60500, 7.81000, 415.0
A19A, A19A, 48.92860, -108.74290, 971.0
A20, A20, 50.70200, 8.22600, 380.0
A20A, A20A, 48.87990, -107.92570, 868.0
A21, A21, 47.70361, -69.68972, 46.0
A21A, A21A, 48.99120, -106.92540, 779.0
A21E, A21E, 50.77500, 8.04000, 330.0
A21K, A21K, 71.32210, -156.61750, 0.5
A22A, A22A, 48.99260, -105.91530, 861.0
A23A, A23A, 48.95920, -104.87860, 665.0
A24A, A24A, 48.92390, -104.00180, 677.0
A25A, A25A, 48.93880, -103.11280, 584.0
A26A, A26A, 48.89730, -102.03800, 570.0
A27A, A27A, 48.95330, -101.24070, 466.0
A28A, A28A, 48.90960, -100.26690, 692.0
A29A, A29A, 48.92280, -99.23210, 480.0
A30A, A30A, 48.94020, -98.30090, 484.0
A31A, A31A, 48.93200, -97.18880, 244.0
A32A, A32A, 48.91720, -96.49350, 322.0
A33, A33, 51.95100, 7.40700, 165.0
A33A, A33A, 48.93711, -95.39039, 329.0
A36M, A36M, 71.98710, -125.24720, 32.0
A490, A490, 10.27230, -85.45820, 0.0
A492, A492, 10.21380, -85.59630, 0.0
A494, A494, 10.34650, -85.35030, 0.0
A495, A495, 10.39250, -85.45600, 0.0
A50, A50, 51.21800, 7.99300, 540.0
A51, A51, 51.11300, 7.88900, 300.0
A52, A52, 50.97700, 7.75500, 510.0
A53, A53, 50.87400, 7.63800, 390.0
A54, A54, 47.45670, -70.41250, 381.0
A54E, A54E, 50.72400, 7.55500, 320.0
A61, A61, 47.69310, -70.09000, 358.0
A64, A64, 47.82640, -69.89220, 137.0
A70, A70, 50.83900, 6.88500, 115.0
A71, A71, 51.03600, 6.43200, -300.0
